,Sl.No,Lane,VehicleType,Entry,Exit,TravelTime,Speed(kmph),Time Interval,CumulativeEntryFlow,CumulativeExitFlow,EntryFlow/Interval,ExitFlow/Interval,Travel Time in one minute,Travel Time in one minute(interval wise),Avg Travel Time in one minute,SMS,Exit Flow Per Hour,Small Car,Big Car,Two Wheeler,LCV,Bus,Single Axle,Multi Axle,Small Car interval wise,Big Car interval wise,Two Wheeler interval wise,LCV interval wise,Bus interval wise,Single Axle interval wise,Multi Axle interval wise,Cumulative Speed of Small Car,Cumulative Speed of Big Car,Cumulative Speed of Two Wheeler,Cumulative Speed of LCV,Cumulative Speed of Bus,Cumulative Speed of Single Axle,Cumulative Speed of Multi Axle,Cumulative Speed of Small Car interval wise,Cumulative Speed of Big Car interval wise,Cumulative Speed of Two Wheeler interval wise,Cumulative Speed of LCV interval wise,Cumulative Speed of Bus interval wise,Cumulative Speed of Single Axle interval wise,Cumulative Speed of Multi Axle interval wise,Avg Speed of Small Car,Avg Speed of Big Car,Avg Speed of Two Wheeler,Avg Speed of LCV,Avg Speed of Bus,Avg Speed of Single Axle,Avg Speed of Multi Axle,Small Car PCU,Big Car PCU,Two Wheeler PCU,LCV PCU,Bus PCU,Single Axle PCU,Multi Axle PCU,Final PCU per 5min
0,1,1,3,0.93,4.37,3.44,64.88372093023256,300,52,49,52.0,49.0,306.71,306.71,6.259387755102041,35.65843956832187,2940.0,8,8,26,1,2,3,1,8.0,8.0,26.0,1.0,2.0,3.0,1.0,374.8589749623125,301.29990271213467,1126.4108101860436,32.022955523672884,34.767460768436415,65.06476226476227,25.655172413793053,374.8589749623125,301.29990271213467,1126.4108101860436,32.022955523672884,34.767460768436415,65.06476226476227,25.655172413793053,46.857371870289064,37.66248783901683,43.323492699463216,32.022955523672884,17.383730384218207,21.688254088254087,25.655172413793053,1.0,1.8824566607980922,0.24214244363083548,3.4970420474902606,12.340839877910557,7.106256124597936,6.007454791597139,84.86030178948879
1,2,1,3,10.77,16.27,5.5,40.58181818181818,600,84,83,32.0,34.0,481.75,175.04000000000002,5.148235294117647,43.35466179159049,2040.0,12,16,44,2,2,5,2,4.0,8.0,18.0,1.0,0.0,2.0,1.0,537.5742064987417,724.783020340987,1959.7522718958721,67.84960078852029,34.767460768436415,137.33107468173532,51.69951313724681,162.71523153642914,423.48311762885237,833.3414617098285,35.82664526484741,0.0,72.26631241697305,26.044340723453757,40.678807884107286,52.935389703606546,46.29674787276825,35.82664526484741,0.0,36.133156208486525,26.044340723453757,1.0,1.1627280966254265,0.1967135104171376,2.7136036431095873,0.0,3.7029669956160505,5.137388053250807,32.09959364810438
2,3,1,3,16.33,21.97,5.640000000000001,39.574468085106375,900,136,134,52.0,51.0,800.4800000000005,318.7300000000005,6.249607843137264,35.714240893546204,3060.0,23,29,60,5,5,7,5,11.0,13.0,16.0,3.0,3.0,2.0,3.0,995.7740951394865,1370.7500374225413,2701.7203543445726,170.8200410357966,118.62770068119522,168.882323432984,120.4791005708552,458.1998886407448,645.9670170815542,741.9680824487004,102.97044024727631,83.8602399127588,31.551248751248693,68.77958743360838,41.6545353309768,49.68977054473494,46.37300515304378,34.32348008242544,27.953413304252933,15.775624375624346,22.92652914453613,1.0,1.2683857885187242,0.20110066637909665,2.900382789115686,6.8224006026404584,8.684868754169418,5.976012607648702,95.17275141936234
3,4,1,3,32.2,36.37,4.169999999999995,53.52517985611517,1200,184,182,48.0,48.0,1059.5200000000002,259.03999999999974,5.396666666666661,41.35886349598522,2880.0,34,45,75,5,6,10,7,11.0,16.0,15.0,0.0,1.0,3.0,2.0,1570.4042273898751,2251.217660775304,3445.5399364580367,170.8200410357966,134.57055782405237,247.90728435689797,154.22577194415157,574.6301322503887,880.4676233527628,743.8195821134641,0.0,15.94285714285715,79.02496092391397,33.74667137329638,52.239102931853516,55.02922645954767,49.587972140897605,0.0,15.94285714285715,26.341653641304656,16.87333568664819,1.0,1.4363436772350717,0.2358499661707643,0.0,15.001660216447654,6.522892151716774,10.183153407898551,92.45589181571769
4,5,1,4,34.2,41.17,6.969999999999999,32.022955523672884,1500,226,225,42.0,43.0,1265.6799999999998,206.15999999999963,4.794418604651154,46.55413271245642,2580.0,41,59,94,6,6,12,7,7.0,14.0,19.0,1.0,0.0,2.0,0.0,1954.0536279214546,2985.005888052258,4340.9165215249595,223.96289817865318,134.57055782405237,307.99535639340877,154.22577194415157,383.64940053157943,733.7882272769539,895.3765850669229,53.14285714285657,0.0,60.088072036510795,0.0,54.80705721879706,52.4134448054967,47.12508342457489,53.14285714285657,0.0,30.044036018255397,0.0,1.0,1.5821579738346223,0.26037591446207925,2.464767303005931,0.0,6.000200082054225,0.0,48.56252147557859
5,6,1,6,35.9,50.2,14.300000000000004,15.608391608391603,1800,266,265,40.0,40.0,1447.009999999999,181.32999999999925,4.533249999999981,49.23619919483834,2400.0,50,75,104,7,7,14,8,9.0,16.0,10.0,1.0,1.0,2.0,1.0,2503.2191915828516,3841.866658329002,4893.2175460600565,262.71289817865323,149.45055782405237,383.1449817014613,203.2807169990971,549.1655636613971,856.860770276744,552.301024535097,38.75000000000006,14.879999999999995,75.14962530805252,49.054945054945534,61.018395962377454,53.5537981422965,55.2301024535097,38.75000000000006,14.879999999999995,37.57481265402626,49.054945054945534,1.0,1.7239575750551834,0.24734400825074104,3.7633396835727204,18.774467342179513,5.3413555201502065,4.091339471757479,76.36861882120047
6,7,1,3,44.3,49.97,5.670000000000002,39.36507936507935,2100,309,308,43.0,43.0,1646.8699999999988,199.85999999999967,4.647906976744179,48.021615130591485,2580.0,58,88,122,7,7,14,12,8.0,13.0,18.0,0.0,0.0,0.0,4.0,2890.2993157201518,4549.321339625298,5907.849205383044,262.71289817865323,149.45055782405237,383.1449817014613,323.4199636499433,387.0801241373001,707.4546812962958,1014.6316593229876,0.0,0.0,0.0,120.13924665084622,48.385015517162515,54.41959086894583,56.368425517943756,0.0,0.0,0.0,30.034811662711554,1.0,1.3452768748558552,0.19217258706490697,0.0,0.0,0.0,5.298750789453363,50.1427090981079
7,8,1,3,53.67,58.47,4.799999999999997,46.50000000000003,2400,344,343,35.0,35.0,1827.7699999999988,180.9000000000001,5.168571428571431,43.18407960199003,2100.0,65,103,132,7,8,15,13,7.0,15.0,10.0,0.0,1.0,1.0,1.0,3263.0532608769763,5291.011516818053,6452.061103680754,262.71289817865323,164.95055782405228,423.94936927001856,338.5010447310247,372.75394515682456,741.6901771927551,544.2118982977099,0.0,15.499999999999915,40.804387568557274,15.08108108108138,53.25056359383208,49.44601181285034,54.421189829770995,0.0,15.499999999999915,40.804387568557274,15.08108108108138,1.0,1.629479889309365,0.21906481659183785,0.0,15.729042255568682,4.292446266475885,11.613931397412104,65.26826642501553
8,9,1,3,56.67,61.43,4.759999999999998,46.89075630252103,2700,385,385,41.0,42.0,2017.209999999999,189.44000000000005,4.510476190476192,49.48479729729728,2520.0,75,116,149,8,8,16,13,10.0,13.0,17.0,1.0,0.0,1.0,0.0,3766.364299059933,5986.88921018456,7319.034718737376,305.30831802597953,164.95055782405228,464.7537568385758,338.5010447310247,503.3110381829565,695.8776933665076,866.9736150566223,42.5954198473263,0.0,40.80438756855722,0.0,50.33110381829565,53.5290533358852,50.99844794450719,42.5954198473263,0.0,40.80438756855722,0.0,1.0,1.4226660135617915,0.22095099018545447,2.823955779854891,0.0,4.0571130912401765,0.0,39.13189388055108
9,10,1,2,59.13,65.4,6.270000000000003,35.598086124401895,3000,422,422,37.0,37.0,2209.2099999999987,191.99999999999977,5.189189189189183,43.012500000000045,2220.0,82,130,161,9,8,19,13,7.0,14.0,12.0,1.0,0.0,3.0,0.0,4086.705123525685,6706.015831100058,7886.606061433586,344.26119760713124,164.95055782405228,543.3110003678074,338.5010447310247,320.3408244657521,719.1266209154974,567.5713426962093,38.952879581151706,0.0,78.55724352923164,0.0,45.762974923678875,51.36618720824981,47.297611891350776,38.952879581151706,0.0,26.185747843077213,0.0,1.0,1.3480095942630368,0.21661647887482136,2.807753780881748,0.0,5.748265116571475,0.0,48.52408119677655
