Sl.No,Lane,VehicleType,Entry,Exit
1,1,3,0.93,4.37
2,1,3,10.77,16.27
3,1,3,16.33,21.97
4,1,3,32.2,36.37
5,1,4,34.2,41.17
6,1,6,35.9,50.2
7,1,3,44.3,49.97
8,1,3,53.67,58.47
9,1,3,56.67,61.43
10,1,2,59.13,65.4
11,1,3,59.83,66.4
12,1,1,63.23,67.9
13,1,6,64.37,71.03
14,1,2,65,72.37
15,1,6,80.17,94.17
16,1,3,86.63,91.2
17,1,3,87.03,92.97
18,1,2,121.7,127.33
19,1,1,123.03,128.53
20,1,3,125.7,130.27
21,1,1,129.43,135.5
22,1,5,133.27,144.9
23,1,3,134.47,139.37
24,1,2,146.67,153.13
25,1,3,151.07,156
26,1,3,151.6,157.4
27,1,2,153.4,159.23
28,1,1,154.27,162.83
29,1,2,175.33,183
30,1,3,177.77,184
31,2,7,184.2,192.9
32,2,3,185.93,189.67
33,2,3,187.43,192.4
34,1,1,192.9,197.77
35,1,5,199.63,213.96
36,1,3,204.93,212.2
37,1,3,206.5,212.67
38,1,3,207.37,214.93
39,1,3,218.1,224.17
40,1,3,227.73,233.07
41,1,3,229.1,237.07
42,1,3,231,236.07
43,1,2,237.83,243.2
44,1,2,242.63,246.9
45,1,1,250.3,254.07
46,1,1,251.57,255.4
47,1,3,264.2,269.5
48,1,1,276.43,280.13
49,1,3,283,286.33
50,2,2,294.17,300.37
51,2,1,295,303.3
52,1,3,298.77,303.59
53,1,3,314.67,319.07
54,1,3,322.07,327.13
55,1,3,326.77,331.97
56,2,2,345.3,349.23
57,2,3,363.13,369.27
58,1,2,383.33,386.73
59,1,4,392.9,399.13
60,1,1,396.13,401.27
61,1,3,399.83,403.73
62,1,3,402.23,405.97
63,1,3,406.37,411.03
64,2,2,409.42,413.19
65,1,3,415.13,418.8
66,2,6,416.47,422.2
67,2,6,423.63,430.33
68,2,1,427.6,433.63
69,2,3,460.4,466
70,1,2,462.23,466.4
71,1,3,466.07,471.03
72,1,2,472.83,477.37
73,1,3,483.47,488.07
74,1,2,496.23,501.03
75,1,1,502.87,506.9
76,1,3,539.63,543.23
77,1,7,545.43,554
78,1,3,547.53,554
79,1,3,549.7,555.03
80,1,3,554,559.97
81,1,3,556.53,562.47
82,1,3,586.83,592.33
83,2,2,594.93,598.87
84,1,3,597.9,601.93
85,1,1,604.6,609.8
86,1,7,608.3,622.17
87,1,7,623.77,632.5
88,1,3,623.77,627.9
89,1,2,634.4,639.27
90,1,1,644.3,648.07
91,1,2,648.87,654.83
92,1,1,649.73,655.97
93,1,7,653.67,661.9
94,1,3,676.83,680.37
95,1,3,678.93,682.87
96,1,3,678.93,683.03
97,1,2,682.07,686.2
98,1,1,694.73,700.4
99,1,2,695.43,699.93
100,1,4,700.63,705
101,1,2,702.5,706.83
102,1,3,703.37,707.13
103,1,4,721.27,736.27
104,1,1,723.2,727.6
105,2,2,726.6,732.13
106,2,3,734.17,739.5
107,1,5,734.37,749.37
108,1,3,736.5,741.17
109,1,1,737.4,742.87
110,1,1,744.53,753.73
111,2,5,756.9,766.07
112,1,2,758.3,763.93
113,1,6,759.3,773.6
114,2,3,760.83,768.27
115,2,3,768.27,775
116,1,6,770.63,784.63
117,1,1,773.53,782.07
118,1,1,779.77,785.67
119,1,3,782.53,787.47
120,1,1,786.6,790.16
121,1,4,791.4,797.43
122,1,2,798.97,803.07
123,1,3,803.77,809.87
124,1,1,807.27,813.07
125,2,3,811.7,819
126,1,3,812.8,816.87
127,1,2,824.87,829.2
128,2,5,838.43,843.43
129,1,3,843.83,849.43
130,1,2,851.23,856.5
131,1,2,874,877.83
132,2,3,879.53,885.23
133,1,2,889.37,893.33
134,1,2,891.87,895.33
135,1,3,898.23,902.67
136,1,2,899.23,903.37
137,1,3,934.9,938.73
138,2,2,943.57,947.87
139,2,1,947.97,952.03
140,2,1,953.5,958.2
141,2,7,958.97,971.9
142,1,1,959.8,966.37
143,1,3,965.23,971.67
144,2,3,971.9,976.07
145,1,3,980.47,986.67
146,1,1,986.67,992.3
147,2,6,991.1,1005.7
148,1,1,994.6,999.53
149,2,7,995.73,1009.27
150,1,2,1001.67,1004.97
151,2,6,1014.4,1028.4
152,2,6,1017.1,1021.77
153,1,3,1037.17,1041.13
154,1,3,1038.13,1042.6
155,1,3,1040.9,1045.4
156,2,1,1042.93,1046.47
157,2,1,1047.57,1051.93
158,1,2,1053.43,1057.67
159,1,2,1067.53,1072.57
160,1,1,1072.37,1076.4
161,1,2,1072.57,1075.97
162,1,2,1076.73,1080.2
163,2,2,1101.7,1105.6
164,2,2,1109.3,1112.77
165,2,2,1111.2,1114.47
166,2,1,1113.3,1117.27
167,2,2,1120.97,1125.47
168,1,2,1135.97,1140.43
169,1,2,1143.33,1148.67
170,1,2,1145.27,1150.87
171,1,2,1156.67,1160.5
172,1,3,1157.23,1161.33
173,1,1,1158.93,1162.13
174,1,1,1160.5,1164.37
175,2,3,1161.73,1166.43
176,1,3,1161.73,1165.63
177,1,3,1168.47,1173.37
178,1,3,1176.87,1180.53
179,1,3,1180.53,1186.97
180,1,5,1184.27,1198.27
181,1,2,1185.17,1189.57
182,1,3,1194.9,1198.97
183,1,2,1196.93,1201.6
184,1,1,1198.43,1203.21
185,1,3,1212.1,1215.73
186,1,3,1226.17,1230.1
187,1,2,1240.9,1244.17
188,2,2,1250.7,1254.4
189,1,2,1251.77,1256.8
190,1,2,1252.67,1257.47
191,1,6,1261.27,1266.63
192,1,2,1263.77,1268.27
193,1,1,1278.7,1282.3
194,1,1,1283,1287
195,1,6,1283,1295.1
196,1,2,1301.77,1305.2
197,2,2,1316.9,1320.7
198,1,3,1338.03,1342.8
199,1,3,1344.63,1348.8
200,1,3,1346.67,1351.5
201,1,3,1350.23,1355.67
202,1,3,1351.3,1356.47
203,1,3,1354.3,1358.7
204,2,3,1355.27,1363.37
205,2,3,1355.67,1363.37
206,1,3,1366.63,1370.93
207,1,3,1368.4,1373.1
208,1,3,1370.77,1375.6
209,1,3,1398.2,1401.77
210,1,2,1398.7,1404.77
211,1,2,1404.73,1408.7
212,1,1,1406.6,1411.13
213,1,1,1410.33,1414.73
214,1,3,1412.9,1417.93
215,1,3,1413.5,1418.13
216,1,1,1415,1418.5
217,1,3,1417.77,1423.03
218,1,3,1422.8,1428.5
219,1,3,1427.87,1431.8
220,1,2,1431.6,1437
221,1,2,1445.27,1450.07
